Electrophile,Nucleophile,Ligand,Base,Solvent,Yld
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,[K+].[OH-],CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[Li+].CC(C)(C)[O-],CO,33.79
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,[Li+].CC(C)(C)[O-],CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,[Li+].CC(C)(C)[O-],CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[Li+].CC(C)(C)[O-],CO,19.51
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[Li+].CC(C)(C)[O-],CO,69.06
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,[Li+].CC(C)(C)[O-],CO,83.36
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[Li+].CC(C)(C)[O-],CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,[Li+].CC(C)(C)[O-],CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[Li+].CC(C)(C)[O-],CO,92.19
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6,[Li+].CC(C)(C)[O-],CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,[Li+].CC(C)(C)[O-],CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[Na+].OC([O-])=O,CO,56.20
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,[Na+].OC([O-])=O,CO,50.56
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,[Na+].OC([O-])=O,CO,40.60
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[Na+].OC([O-])=O,CO,41.56
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[Na+].OC([O-])=O,CO,66.92
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,[Na+].OC([O-])=O,CO,66.51
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[Na+].OC([O-])=O,CO,23.01
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,[Na+].OC([O-])=O,CO,31.37
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[Na+].OC([O-])=O,CO,36.28
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6,[Na+].OC([O-])=O,CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,[Na+].OC([O-])=O,CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,CCN(CC)CC,CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,CCN(CC)CC,CO,39.72
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,CCN(CC)CC,CO,42.23
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,CCN(CC)CC,CO,37.26
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,CCN(CC)CC,CO,58.84
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,CCN(CC)CC,CO,56.74
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,CCN(CC)CC,CO,21.71
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,CCN(CC)CC,CO,35.03
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,CCN(CC)CC,CO,26.87
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6,CCN(CC)CC,CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,CCN(CC)CC,CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[F-].[Cs+],CO,54.02
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,[F-].[Cs+],CO,65.54
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,[F-].[Cs+],CO,54.54
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[F-].[Cs+],CO,59.37
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[F-].[Cs+],CO,68.57
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,[F-].[Cs+],CO,69.72
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[F-].[Cs+],CO,57.99
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,[F-].[Cs+],CO,59.66
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[F-].[Cs+],CO,72.36
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6,[F-].[Cs+],CO,43.64
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,[F-].[Cs+],CO,28.26
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,40.99
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,48.95
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,34.64
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,27.94
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,51.99
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,52.56
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,21.33
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,21.78
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,[K+].[K+].[K+].[O-]P([O-])([O-])=O,CO,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[OH-].[Na+],CC#N,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,[OH-].[Na+],CC#N,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,[OH-].[Na+],CC#N,21.10
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[OH-].[Na+],CC#N,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[OH-].[Na+],CC#N,18.81
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,[OH-].[Na+],CC#N,35.80
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[OH-].[Na+],CC#N,19.54
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,[OH-].[Na+],CC#N,35.05
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[OH-].[Na+],CC#N,16.35
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6,[OH-].[Na+],CC#N,19.96
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,[OH-].[Na+],CC#N,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[K+].[OH-],CC#N,40.24
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,[K+].[OH-],CC#N,45.86
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,[K+].[OH-],CC#N,52.70
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[K+].[OH-],CC#N,30.50
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[K+].[OH-],CC#N,27.56
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,[K+].[OH-],CC#N,48.69
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[K+].[OH-],CC#N,29.34
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,[K+].[OH-],CC#N,33.23
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[K+].[OH-],CC#N,26.63
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].[CH]1[CH][CH][C]([CH]1)P(c2ccccc2)c3ccccc3.[CH]4[CH][CH][C]([CH]4)P(c5ccccc5)c6ccccc6,[K+].[OH-],CC#N,28.08
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC1(c2c(Oc3c1cccc3P(c4ccccc4)c5ccccc5)c(P(c6ccccc6)c7ccccc7)ccc2)C,[K+].[OH-],CC#N,0.00
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[Li+].CC(C)(C)[O-],CC#N,54.08
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,c1ccc(cc1)P(c2ccccc2)c3ccccc3 ,[Li+].CC(C)(C)[O-],CC#N,46.75
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CN(C)c1ccc(cc1)P(C(C)(C)C)C(C)(C)C,[Li+].CC(C)(C)[O-],CC#N,46.65
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[Li+].CC(C)(C)[O-],CC#N,30.64
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[Li+].CC(C)(C)[O-],CC#N,15.11
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,CCCCP([C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)[C@@]45C[C@@H]6C[C@@H](C[C@@H](C6)C4)C5,[Li+].CC(C)(C)[O-],CC#N,42.99
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[Li+].CC(C)(C)[O-],CC#N,24.27
CC1=CC=C(N(C2OCCCC2)N=C3)C3=C1Br,OB(O)C1=CC=C(N=CC=C2)C2=C1,[Fe].CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]2[CH][CH][CH][CH]2)C(C)(C)C,[Li+].CC(C)(C)[O-],CC#N,25.71
